carrierid	component	quantity	timeatfirstload	maxtotaltime	previouspauses	aux2	package	phs_nom_height
005518	OPGD_0130	558	2024-08-08 16:08:19.686898	7	63.9613416967361	1.00000000000000000000	0603-10	1000
004054	OPGD_0130	2000	2023-11-17 11:41:32.556535	7	128.992983353484	1.00000000000000000000	0603-10	1000
002792	OPGD_0131	182	2023-06-19 14:14:06.549631	0	233.275662720093	4.0000000000000000	Diode 4x4mm	4000
004902	DARA_1401	5	2024-04-19 09:41:27.538982	0	95.2105673737847	1.5000000000000000	SOT-89	1500
002100	DXXX_0993	80	2023-03-27 14:04:28.936509	7	549.695180030637	0.80000000000000000000	QFN24-4X4	800
004417	DASP_0603	1	2024-01-26 10:51:24.067044	365	24.1043259161921	0.90000000000000000000	TSSOP08-0.65-BW:3.2	900
004200	DASP_0971	168	2023-12-12 10:10:58.939715	365	136.082790261481	1.7000000000000000	T0-6	1700
004310	DARA_0800	6	2024-01-09 12:04:26.515573	7	29.8224049437037	0.80000000000000000000	QFN16-3X3	800
004888	DASP_1668	57	2024-04-16 15:48:19.59555	365	2.9221091921875	0.80000000000000000000	SOT-23_5_08.opt	800
004308	DAOP_0758	25	2024-01-09 12:02:42.934715	365	0	0.80000000000000000000	QFN16-3X3	800
004309	DXXX_0769	10	2024-01-09 12:02:04.399054	365	0	0.90000000000000000000	QFN32-5X5	900
004808	DASP_1143	30	2024-03-26 13:49:38.817315	365	0	0.90000000000000000000	QFN20-5X5	900
002881	DXXX_1030	175	2023-06-30 13:37:41.27015	28	350.072573411238	0.85000000000000000000	QFN64-9X9	850
004101	DXXX_1148	520	2023-11-28 08:50:05.705945	365	0	0.85000000000000000000	QFN64-9X9	850
004098	DXXX_1148	260	2023-11-28 08:46:53.308857	365	0	0.85000000000000000000	QFN64-9X9	850
004100	DXXX_1148	260	2023-11-28 08:48:33.308215	365	0	0.85000000000000000000	QFN64-9X9	850
004102	DXXX_1148	260	2023-11-28 08:51:44.855711	365	0	0.85000000000000000000	QFN64-9X9	850
004985	DARA_0965	1	2024-05-10 09:40:42.733448	7	72.1155757201042	0.90000000000000000000	QFN32-5X5.meh	900
005550	CUNI_1470	2951	2024-08-20 09:13:25.8955	365	86.1970369594329	1.00000000000000000000	0805-09.light	1000
002244	DXXX_0575	1	2023-04-11 16:10:36.579313	365	412.957888504641	1.2000000000000000	SOT-23-5.opt	1200
002841	DARA_1269	5	2023-06-28 09:44:12.489411	7	384.254513468287	0.90000000000000000000	QFN32-5X5	900
004251	DARA_1701	1	2023-12-21 09:42:02.346643	7	0	2.0000000000000000	!DUMMY	2000
004252	DDXX_1587	300	2023-12-21 10:16:19.451256	3	0	2.6000000000000000	MXL1105L	2600
004253	DDXX_1587	300	2023-12-21 10:18:28.5412	3	0	2.6000000000000000	MXL1105L	2600
004254	DDXX_1587	300	2023-12-21 10:19:18.828641	3	0	2.6000000000000000	MXL1105L	2600
004255	DDXX_1587	300	2023-12-21 10:20:06.555566	3	0	2.6000000000000000	MXL1105L	2600
003446	DASP_0910	50	2023-09-11 09:22:58.978364	365	435.143609603947	0.95000000000000000000	QFN10-3X3	950
005057	DARA_1432	32	2024-05-29 09:26:58.786865	7	104.563171044734	1.8000000000000000	QFN20-5X5.5	1800
004664	DARA_1471	10	2024-07-23 09:51:20.297629	7	0	3.0000000000000000	QFN50	3000
003195	DDAT_1466	225	2023-08-08 10:37:34.480495	7	260.582221318299	0.75000000000000000000	WSON_8X6	750
004822	OPFD_4156	36	2024-04-02 12:38:39.896461	3	72.7636264073032	1.1000000000000000	5042-11	1100
005014	DARA_1241	10	2024-05-20 13:47:55.996366	7	1.82659717902778	0.90000000000000000000	QFN24-5X5	900
002965	DASP_1265	1730	2023-07-07 14:48:25.14185	0	25.9041146933565	1.00000000000000000000	QFN20-4X4	1000
004436	CELE_0823	12	2024-01-30 10:21:45.562654	7	198.391590610637	2.9000000000000000	CTD_melns korp h2.9	2900
004438	OPGD_0137	33	2024-01-30 10:24:54.632117	7	51.1726730318519	1.3000000000000000	Diode 3.2x2.7	1300
004388	DXXX_0942	22	2024-01-22 09:05:58.222701	365	179.26365818103	0.80000000000000000000	QFN24-4X4	800
004389	DARA_0474	300	2024-01-22 09:59:43.293785	7	0	0.80000000000000000000	QFN24-4X4	800
004043	OPGD_0065	9	2023-11-17 08:34:36.919788	365	22.0357984859722	1.1000000000000000	D0805-0.75	1100
005894	DASP_0603	664	2024-10-15 10:06:00.817617	365	10.0609312820602	0.90000000000000000000	TSSOP08-0.65-BW:3.2	900
003400	DXXX_1140	135	2023-08-25 08:59:52.914624	0	227.496753716262	0.90000000000000000000	QFN32-5X5	900
004720	DARA_1117	111	2024-03-05 10:39:47.559128	0	26.8271285923727	0.90000000000000000000	QFN40-6X6	900
004371	DARA_0800	154	2024-01-19 16:31:44.48118	0	27.1817474915972	0.80000000000000000000	QFN16-3X3	800
004577	DARA_1190	5	2024-02-05 09:02:53.665589	7	249.102134075116	0.80000000000000000000	QFN24-4X4	800
004580	DXXX_1363	162	2024-02-05 09:12:00.023615	7	256.268498318021	0.80000000000000000000	QFN24-4X4	800
003785	DASP_0751	10	2024-04-23 15:55:34.976954	7	18.9620958226852	0.75000000000000000000	DFN8D-3x3	750
003713	DXXX_0769	7	2023-10-03 13:43:17.031688	365	98.26318354625	0.90000000000000000000	QFN32-5X5	900
002159	DXXX_1150	106	2024-02-12 15:36:21.410966	365	82.4825430529861	1.1000000000000000	TSSOP48-0.50-BW:6.1	1100
004809	DASP_1144	95	2024-03-26 13:52:24.190769	365	0	0.60000000000000000000	QFN8-2.1X2.1	600
002621	DASP_0751	229	2023-06-02 15:01:47.465225	0	326.02672659331	0.75000000000000000000	DFN8D-3x3	750
002549	DDPR_1056	4	2023-05-26 15:33:42.747868	7	360.769109993553	1.5000000000000000	LQFP64-0.50	1500
002551	DDAT_1243	181	2023-05-26 15:39:40.540771	7	408.736272030035	1.1000000000000000	TSOP48-BW:18.4	1100
002104	DARA_0960	19	2023-03-27 14:06:59.919287	0	410.191631065035	0.90000000000000000000	QFN32-5X5.meh	900
004729	DXXX_1233	8	2024-03-08 13:39:33.976198	7	167.058756032755	0.85000000000000000000	QFN64-9X9	850
004579	DARA_1241	12	2024-02-05 09:08:35.323775	7	70.4761847851157	0.90000000000000000000	QFN24-5X5	900
004733	DDPR_1711	13	2024-03-12 14:21:19.270487	7	155.02418159316	1.00000000000000000000	TQFP64-0.50	1000
004026	DXXX_0629	433	2023-11-14 13:55:12.900948	0	124.706276398241	1.00000000000000000000	QFN20-4X4	1000
004876	DDAT_0945	10	2024-04-16 08:37:08.472536	7	0	1.5500000000000000	SO8	1550
004855	DXXX_1157	189	2024-04-11 10:08:37.108273	3	61.0237757022801	2.6500000000000000	BGA1440-38x38-0.8	2650
004776	DAXX_0798	10	2024-03-15 14:43:27.055949	7	195.831814569618	0.80000000000000000000	QFN16-3X3	800
004775	DAXX_0798	37	2024-03-15 14:42:22.48944	7	138.81904516265	0.80000000000000000000	QFN16-3X3	800
004777	DAXX_0798	45	2024-03-15 14:44:21.10194	7	0	0.80000000000000000000	QFN16-3X3	800
003360	DXXX_1277	221	2023-08-16 16:07:36.549587	0	17.7066782910185	0.90000000000000000000	QFN32-5X5	900
004870	DASP_1553	37	2024-04-15 16:44:02.796859	365	10.7836091902083	0.90000000000000000000	VQFN-HR_1h_REF	900
002101	DARA_1092	8	2024-05-21 11:36:24.079796	365	28.0610855041898	0.80000000000000000000	QFN8-3X3.opt	800
